GeoFips,State,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
0,United States,1534,1705,1794,1872,1857,1954,2062,2141,2163,2262,2323,2386,2499,2589,2736,2919,3135,3328,3616,3930,4196,4468,4853,5352,5824,6312,6856,7494,8338,9212,10153,11262,11947,12652,13860,14719,15459,16265,17426,18653,19591,19985,21060,21698,22538,23568,24728,25950,27510,28627,30602,31540,31815,32692,34316,35904,38144,39821,41082,39376,40277,42453,44266,44438,46049
1000,Alabama,922,1074,1140,1198,1172,1311,1398,1467,1504,1561,1593,1625,1702,1790,1921,2056,2192,2318,2540,2827,3074,3337,3662,4073,4459,4901,5413,5890,6572,7234,7913,8744,9222,9855,10792,11565,12183,12823,13765,14965,15820,16506,17537,18082,18938,19866,20569,21480,22760,23516,24649,25569,26093,27045,28802,30202,31683,32911,33910,33027,34073,35202,36036,36176,37512
2000,Alaska,2903,3405,3261,3176,2935,2895,3032,2909,3016,3139,3525,3347,3372,3508,3823,4003,4258,4523,4762,5288,5873,6222,6580,7452,8738,11099,12320,12649,12869,13555,15309,16863,19150,19181,19391,20230,19969,19340,20066,21820,22863,23149,23938,24753,25404,26041,26565,27812,28751,29442,31481,32870,33978,35268,36577,38521,40545,43388,47271,46192,47773,50552,52269,51259,54012
4000,Arizona,1398,1668,1769,1769,1758,1823,1927,1973,1977,2062,2145,2194,2258,2297,2408,2511,2687,2867,3219,3633,4000,4328,4681,5110,5504,5757,6244,6789,7720,8674,9629,10718,11033,11799,12943,13838,14598,15195,15916,16699,17204,17573,18129,18800,19755,20594,21572,22680,24164,24987,26553,27220,27590,28446,30222,32429,34848,35929,36077,34063,34185,35675,36788,36723,37895
5000,Arkansas,852,972,1046,1088,1104,1206,1266,1285,1344,1442,1430,1540,1604,1680,1802,1904,2110,2235,2416,2681,2920,3181,3509,4072,4457,4780,5251,5739,6552,7091,7590,8572,9012,9536,10551,11208,11750,12157,13039,13969,14635,15288,16451,16986,17762,18579,19444,20149,21190,21856,22803,23873,24237,25462,26855,27915,29479,31180,32434,31629,31991,33961,36291,36529,37782
6000,California,1937,2156,2293,2335,2313,2468,2586,2672,2695,2834,2920,2979,3101,3204,3377,3521,3772,3988,4320,4676,4966,5210,5653,6116,6722,7306,7955,8662,9656,10752,11926,13128,13732,14538,15864,16767,17573,18491,19606,20576,21494,21824,22644,22964,23535,24595,25885,27147,29133,30663,33391,34091,34306,35381,37244,39046,41693,43182,43786,41588,42411,44852,47614,48125,49985
8000,Colorado,1569,1864,1953,1882,1857,1953,2050,2198,2246,2350,2432,2513,2573,2643,2748,2912,3099,3267,3514,3861,4248,4625,5014,5519,6072,6576,7108,7742,8702,9701,10887,12243,13060,13712,14795,15446,15912,16397,17342,18685,19611,20286,21377,22402,23420,24778,26090,27388,29734,31391,34234,35247,35002,35412,36676,38665,40709,42265,43631,41508,41877,44349,46402,46746,48869
9000,Connecticut,1916,2188,2331,2426,2385,2513,2727,2855,2669,2765,2856,2975,3105,3181,3330,3507,3792,4110,4324,4898,5160,5393,5799,6310,6871,7361,7940,8742,9714,10902,12353,13799,14851,15766,17565,18728,20027,21740,23794,25743,26418,26522,28558,29468,30176,31722,33143,35214,37555,39160,42209,43696,43405,44187,47105,49481,53363,56723,57776,55505,57347,59884,62738,62112,64864
10000,Delaware,2087,2175,2268,2365,2341,2556,2810,2711,2742,2813,2901,2917,3043,3164,3326,3581,3703,3878,4158,4529,4736,5047,5460,5988,6441,6878,7445,7984,8713,9555,10806,11874,12727,13483,14709,15860,16622,17693,19021,20838,21511,22308,22920,23426,23973,24972,26310,27097,28948,30012,32109,33994,34875,35438,37263,38571,40735,41372,42319,41633,41783,43555,44747,44819,46378
12000,Florida,1347,1439,1536,1634,1625,1739,1866,1911,1961,2081,2094,2118,2196,2289,2441,2595,2781,3010,3360,3789,4160,4464,4891,5398,5790,6160,6594,7221,8122,8993,10181,11364,11963,12953,14036,15007,15790,16620,17772,19319,19956,20217,20986,21847,22504,23686,24667,25551,27048,27900,29597,30574,31032,31927,34042,36294,38812,39945,40018,37479,38718,40538,41249,41309,42737
