State,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
South Dakota,0.3100%,0.4600%,0.5100%,0.3400%,0.3600%,0.3600%,0.3400%,0.3200%,0.300%,0.3100%,0.4100%,0.2900%,0.300%,0.4300%,0.1900%,0.3200%,0.2700%,0.4100%
Tennessee,0.4900%,0.2600%,0.2900%,0.200%,0.2500%,0.1300%,0.2900%,0.2800%,0.2600%,0.2300%,0.2500%,0.4400%,0.3300%,0.3600%,0.4100%,0.2900%,0.2400%,0.300%
Texas,0.3500%,0.3100%,0.2500%,0.2800%,0.3300%,0.3900%,0.3600%,0.4300%,0.3700%,0.3500%,0.300%,0.2900%,0.3700%,0.4500%,0.400%,0.4400%,0.3600%,0.3200%
Utah,0.3100%,0.3500%,0.300%,0.2800%,0.3500%,0.2500%,0.300%,0.300%,0.3400%,0.3800%,0.2900%,0.3400%,0.400%,0.3600%,0.3700%,0.2800%,0.3300%,0.3200%
Vermont,0.400%,0.4300%,0.3600%,0.3600%,0.3900%,0.3100%,0.2800%,0.3200%,0.4200%,0.5500%,0.3800%,0.4200%,0.2700%,0.3700%,0.4500%,0.3900%,0.5200%,0.2600%
Virginia,0.2600%,0.300%,0.2300%,0.1700%,0.1800%,0.200%,0.2500%,0.2600%,0.2800%,0.2200%,0.2800%,0.2200%,0.200%,0.2700%,0.2400%,0.200%,0.200%,0.2400%
Washington,0.3200%,0.300%,0.2500%,0.2900%,0.2300%,0.3500%,0.2300%,0.3300%,0.4200%,0.2300%,0.2700%,0.2200%,0.2700%,0.2400%,0.2400%,0.2300%,0.300%,0.1700%
West Virginia,0.1800%,0.1300%,0.2500%,0.200%,0.1800%,0.1200%,0.1500%,0.2600%,0.200%,0.1700%,0.1900%,0.0800%,0.1700%,0.3500%,0.1700%,0.1500%,0.2100%,0.2800%
Wisconsin,0.1900%,0.2300%,0.2700%,0.1500%,0.4500%,0.2400%,0.2800%,0.2700%,0.3400%,0.2700%,0.2700%,0.2900%,0.1700%,0.300%,0.1800%,0.2300%,0.1800%,0.1700%
Wyoming,0.3500%,0.3300%,0.4300%,0.5100%,0.4200%,0.3400%,0.3400%,0.3400%,0.4200%,0.4800%,0.3200%,0.4300%,0.2700%,0.3300%,0.2200%,0.2200%,0.2400%,0.3700%
